marca;modelo;imagem;vers�es;fichaTec;fabricante;injecao;cilindrada;potenciaMax;cv;kw;hp;rpm;torqueMax;nm;faixaTorque;tecnologia;marca;acionamento;nMarchas;marchas;tipo;diametroDisco;freio;dianteiro;tipo;traseiro;relacaoReducao;capacidade;eixoDianteiro;eixoTraseiro;pbtTecnico;pbtLegal;capacidade;pbtc;cmt;eixoD;eixoT;total;distanciaEixos;comprimento;raioParedes;raioPneus;tanqueCombustivel;volume;material;tanqueArla;carter;resumoVantagem
DAF;CF FAC 8x2 PX-7;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FAC_8x2_PX_Euro_6.pdf;PACCAR PX-7;Inje��o Common-rail;6 cilindros / 6,7 litros;308 cv (227 kW) @ 2.200 rpm;308;227;286;2200;1.200 Nm @ 1.200 - 1.500 rpm;1200;1.200 - 1.500;;ZF TRAXON;Manual | Automatizada | Direct Drive;9 velocidades a frente + 1 � r�;9;;;245 cv @2.650 rpm;;;Meritor | MS-165;3,73 - 4,10;;13.000 / 12.000;20.000 / 17.000;33.000;29.000;;;35.000;5.340;2.930;8.270;1.240 | 6.400;11.010;;;300 / 300 + 350;300 | 650;Alum�nio;42;;
DAF;CF FAD 8X4 MX-13;Imagem;;https://transportepress.com/wp-content/uploads/2024/11/CF-8x4-MX-13.pdf;PACCAR MX 13;Inje��o Common-rail;6 cilindros / 10,8 litros;480 cv (355 kW) @ 1.600 rpm;480;355;473;1600;2.350 / 2.500 Nm @ 900 - 1.365 rpm;2.350 | 2.500;900 - 1.365;;ZF TRAXON;Automatizada | Overdrive;12 velocidades a frente + 2 � r�;12;;;490 cv @2.100 rpm - Tr�s est�gios;;;Meritor | MD-610;6,18 - 7,21;;20.000 / 24.000;38.000 / 17.000;58.000;29.000;;;150.000;8.215;3.955;12.170;1.400 | 4.400 | 5.000;8.170 | 8.770;;;390;390;Alum�nio;45;;
DAF;CF FAS PX-7 192;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FAS_6x2_PX_7_Euro_6.pdf;PACCAR PX-7;Inje��o Common-rail;6 cilindros / 6,7 litros;261 cv (192 kW) @ 2.300 rpm;261;192;257;2300;1.000 Nm @ 1.000 - 1.700 rpm;1000;1.000 - 1.700;;ZF TRAXON;Manual | Automatizada | Direct Drive;9 velocidades a frente + 1 � r�;9;;;245 cv @2.650 rpm;;;Meritor | MS-155;3,73 - 4,10;;6.500 / 6.000;20.000 / 17.000;26.500;23.000;;26.500;35.000;3.960;3.135;7.095;1.242 | 4.900 | 5.300;7.480 | 7.890;;;300 / 300+350;300 | 650;Pl�stico;42;;
DAF;CF FAS PX-7 213;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FAS_6x2_PX_7_Euro_6.pdf;PACCAR PX-7;Inje��o Common-rail;6 cilindros / 6,7 litros;290 cv (213 kW) @ 2.300 rpm;290;213;286;2300;1.100 Nm @ 1.100 - 1.600 rpm;1100;1.000 - 1.600;;ZF TRAXON;Manual | Automatizada | Direct Drive;9 velocidades a frente + 1 � r�;9;;;245 cv @2.650 rpm;;;Meritor | MS-155;3,73 - 4,10;;6.500 / 6.000;20.000 / 17.000;26.500;23.000;;26.500;35.000;3.960;3.135;7.095;1.242 | 4.900 | 5.300;7.480 | 7.890;;;300 / 300+350;300 | 650;Pl�stico;42;;
DAF;CF FAS PX-7 227;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FAS_6x2_PX_7_Euro_6.pdf;PACCAR PX-7;Inje��o Common-rail;6 cilindros / 6,7 litros;308 cv (227 kW) @ 2.200 rpm;308;227;286;2200;1.200 Nm @ 1.200 - 1.500 rpm;1200;1.200 - 1.500;;ZF TRAXON;Manual | Automatizada | Direct Drive;9 velocidades a frente + 1 � r�;9;;;245 cv @2.650 rpm;;;Meritor | MS-155;3,73 - 4,10;;6.500 / 6.000;20.000 / 17.000;26.500;23.000;;26.500;35.000;3.960;3.135;7.095;1.242 | 4.900 | 5.300;7.480 | 7.890;;;300 / 300+350;300 | 650;Pl�stico;42;;
DAF;CF FT 4X2 PX-9;Imagem;;https://transportepress.com/wp-content/uploads/2024/11/CF-4X2-PX-9.pdf;PACCAR PX-9;Inje��o Common-rail;6 cilindros / 8,9 litros;380 cv (275 kW) @ 1.900 rpm;380;275;375;1900;1.700 Nm @ 1.100 - 1.400 rpm;1700;1.100 - 1.400;;ZF TRAXON;Automatizada | Direct Drive;12 velocidades a frente + 2 � r�;12;;;271 cv @2.300 rpm;;;Meritor | MS18X;3,08 - 3,40;;7.100 / 6.000;11.000 / 10.000;18.100;16.000;;53.000;60.000;5.180;2.805;7.985;3.600;5.985;;;370 / 520 / 520 + 200;370 | 520 | 720;Alum�nio;45;;
DAF;CF FT MX-11 270 - 4X2;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FT_4X2_MX_11_Euro_6.pdf;PACCAR MX-11;Inje��o Common-rail;6 cilindros / 10,8 litros;370 cv (270 kW) @ 1.600 rpm;370;270;365;1600;1.800 / 1.900 Nm @ 900 - 1.400 rpm;1.800 | 1.900;900 - 1.400;;ZF TRAXON;Automatizada | Direct Drive;12 velocidades a frente + 2 � r�;12;;;460 cv @2.100 rpm - Tr�s est�gios;;;Meritor | MS18X;2,64 - 2,85 - 3,08 - 3,40;;7.100 / 6.000;11.000 / 10.000;18.100;16.000;;53.000;60.000;5.180;2.805;7.985;3.600;5.960 | 5.985;;;520 / 520 + 200 / 520+370;520 | 720 | 890;Alum�nio;45;;
DAF;CF FT MX-11 300 - 4X2;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FT_4X2_MX_11_Euro_6.pdf;PACCAR MX-11;Inje��o Common-rail;6 cilindros / 10,8 litros;410 cv (300 kW) @ 1.600 rpm;410;300;404;1600;2.000 / 2.100 Nm @ 900 - 1.400 rpm;2.000 | 2.100;900 - 1.400;;ZF TRAXON;Automatizada | Direct Drive;12 velocidades a frente + 2 � r�;12;;;460 cv @2.100 rpm - Tr�s est�gios;;;Meritor | MS18X;2,64 - 2,85 - 3,08 - 3,40;;7.100 / 6.000;11.000 / 10.000;18.100;16.000;;53.000;60.000;5.180;2.805;7.985;3.600;5.960 | 5.985;;;520 / 520 + 200 / 520+370;520 | 720 | 890;Alum�nio;45;;
DAF;CF FT MX-11 330 - 4X2;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FT_4X2_MX_11_Euro_6.pdf;PACCAR MX-11;Inje��o Common-rail;6 cilindros / 10,8 litros;450 cv (330 kW) @ 1.600 rpm;450;330;444;1600;2.200 / 2.300 Nm @ 900 - 1.400 rpm;2.200 | 2.300 ;900 - 1.400;;ZF TRAXON;Automatizada | Direct Drive;12 velocidades a frente + 2 � r�;12;;;460 cv @2.100 rpm - Tr�s est�gios;;;Meritor | MS18X;2,64 - 2,85 - 3,08 - 3,40;;7.100 / 6.000;11.000 / 10.000;18.100;16.000;;53.000;60.000;5.180;2.805;7.985;3.600;5.960 | 5.985;;;520 / 520 + 200 / 520+370;520 | 720 | 890;Alum�nio;45;;
DAF;CF FTS MX-11 300 - 6x2;Imagem;;https://cdn.appdealersites.com.br/dealersites/modelo-daf/conteudo/Ficha_tecnica_DAF_CF_FTS_6x2_MX_11_Euro_6.pdf;PACCAR MX-11;Inje��o Common-rail;6 cilindros / 10,8 litros;410 cv (300 kW) @ 1.600 rpm;410;300;404;1600;2.000 / 2.100 Nm @ 900 - 1.400 rpm;2.000 | 2.100;900 - 1.400;;ZF TRAXON;Automatizada | Direct Drive;12 velocidades a frente + 2 � r�;12;;;460 cv @2.100 rpm - Tr�s est�gios;;;Meritor | MS18X;2,64 - 2,85 - 3,08 - 3,40;;7.100 / 6.000;20.000 / 17.000;27.100;23.000;;56.900;60.000;5.230;3.715;8.945;1.240 | 3.100 | 3.600;6.710 | 7.210;;;370 + 200 / 520 / 520 + 200 / 520 + 370;570 | 520 | 720 | 890;Alum�nio;45;;
